customer_key,customer_id,customer_name,customer_address,customer_email,first_purchase_date
87,63445,Ole Magnus Ekelund,"VANDALIA, IL, USA",olemagnusekelund@gmail.com,2018-01-02
88,85290,Mario Longo,"ATLANTIC CITY, NJ, USA",mariolongo@gmail.com,2018-01-02
89,68546,Jack Orswell,"KAPAAU, HI, USA",jackorswell@gmail.com,2018-01-02
90,46084,Alibaba Akporobome,"CROWLEY, LA, USA",alibabaakporobome@gmail.com,2018-01-02
91,83380,Roy Southernwood,"STE GENEVIEVE, MO, USA",roysouthernwood@gmail.com,2018-01-02
92,72998,Abraham Ogden,"IOWA CITY, IA, USA",abrahamogden@gmail.com,2018-01-02
93,84263,Henry David López Guerra,"SALLISAW, OK, USA",henrydavidlópezguerra@gmail.com,2018-01-02
94,79820,José Daniel Ponce,"BRUSH, CO, USA",josédanielponce@gmail.com,2018-01-02
95,68775,Ryota Inoue,"KINGS MOUNTAIN, NC, USA",ryotainoue@gmail.com,2018-01-02
96,63970,Jung Chul-Woon,"UKIAH, CA, USA",jungchul-woon@gmail.com,2018-01-02
97,94711,Aleksei Aleksandrovich Korbut,"CAMARILLO, CA, USA",alekseialeksandrovichkorbut@gmail.com,2018-01-02
98,62253,Jan Gasche,"BIGFORK, MN, USA",jangasche@gmail.com,2018-01-02
99,67211,George Watson,"GREENVILLE, KY, USA",georgewatson@gmail.com,2018-01-02
100,83730,Richard Walton,"TURTLE LAKE, ND, USA",richardwalton@gmail.com,2018-01-02
101,62053,(Armen Lubin),"CORBIN, KY, USA",(armenlubin)@gmail.com,2018-01-02
102,61808,Samuel Mitchell,"ST. HELENA, CA, USA",samuelmitchell@gmail.com,2018-01-02
103,80014,Artur Beliakou,"FREDERICKTOWN, MO, USA",arturbeliakou@gmail.com,2018-01-02
104,78979,Guy Lusadisu,"NEWBERRY, MI, USA",guylusadisu@gmail.com,2018-01-02
105,80740,Daniel Collins,"CASS LAKE, MN, USA",danielcollins@gmail.com,2018-01-02
106,64780,Jiro Wang,"BOURNE, MA, USA",jirowang@gmail.com,2018-01-02
107,75524,Anatoly Mikhaylovich Stessel,"ELMHURST, IL, USA",anatolymikhaylovichstessel@gmail.com,2018-01-02
108,37077,Albino Gomes,"SYLVA, NC, USA",albinogomes@gmail.com,2018-01-02
109,77099,Ian Sommerville,"IOWA CITY, IA, USA",iansommerville@gmail.com,2018-01-02
110,47368,Johnston Cornish,"WAUKON, IA, USA",johnstoncornish@gmail.com,2018-01-02
111,30509,Thomas Jackson,"PLAINSBORO, NJ, USA",thomasjackson@gmail.com,2018-01-02
112,34752,Helen Darling,"PHILIPPI, WV, USA",helendarling@gmail.com,2018-01-02
113,56659,Damian Roßbach,"TUPELO, MS, USA",damianroßbach@gmail.com,2018-01-02
114,44118,Mark Brydon,"OSAGE, IA, USA",markbrydon@gmail.com,2018-01-02
115,35747,Dustin Yellin,"HARRODSBURG, KY, USA",dustinyellin@gmail.com,2018-01-02
116,31540,Diego Bonini,"WATERBURY, VT, USA",diegobonini@gmail.com,2018-01-02
117,41102,Anatolie Arhire,"KEOSAUQUA, IA, USA",anatoliearhire@gmail.com,2018-01-02
118,30042,Roman Träger,"LUCEDALE, MS, USA",romanträger@gmail.com,2018-01-02
119,31761,Afzal Ansari,"OWATONNA, MN, USA",afzalansari@gmail.com,2018-01-02
120,18444,Robert Henry Dicke,"ANTHONY, KS, USA",roberthenrydicke@gmail.com,2018-01-02
121,23664,William Guy,"WINTER HAVEN, FL, USA",williamguy@gmail.com,2018-01-02
122,24479,Jeffrey Daniel,"CLAXTON, GA, USA",jeffreydaniel@gmail.com,2018-01-02
123,32062,Peter R. Orszag,"OTTUMWA, IA, USA",peterr.orszag@gmail.com,2018-01-02
124,31251,Sholpan Seydullayevna Kaliyeva,"TAKOMA PARK, MD, USA",sholpanseydullayevnakaliyeva@gmail.com,2018-01-02
125,17299,William D. Port,"MIDDLEBOROUGH, MA, USA",williamd.port@gmail.com,2018-01-02
126,53911,Visar Ymeri,"WOODSTOCK, IL, USA",visarymeri@gmail.com,2018-01-02
127,37980,Maurice Baker,"BROKEN BOW, NE, USA",mauricebaker@gmail.com,2018-01-02
128,20140,Kei Omoto,"COOK, MN, USA",keiomoto@gmail.com,2018-01-02
129,12202,Fabian Ernst,"CUTHBERT, GA, USA",fabianernst@gmail.com,2018-01-02
130,13782,Jon Herb,"OSBORNE, KS, USA",jonherb@gmail.com,2018-01-02
131,47903,Chris Hoofnagle,"MOUNTAIN VIEW, AR, USA",chrishoofnagle@gmail.com,2018-01-02
132,12370,Alan Albert Gibbons,"MOORESVILLE, NC, USA",alanalbertgibbons@gmail.com,2018-01-02
133,55261,Anandiben Patel,"FREMONT, MI, USA",anandibenpatel@gmail.com,2018-01-02
134,48671,Vyacheslav Serinbayevich Nurmagombetov,"STUART, FL, USA",vyacheslavserinbayevichnurmagombetov@gmail.com,2018-01-02
135,18726,Boris van der Ham,"SOUTH BEND, WA, USA",borisvanderham@gmail.com,2018-01-02
136,58610,John Smart,"BRUNSWICK, ME, USA",johnsmart@gmail.com,2018-01-02
137,12500,Mark Udall,"PANA, IL, USA",markudall@gmail.com,2018-01-02
138,40316,Zhao Zongqi,"PEARISBURG, VA, USA",zhaozongqi@gmail.com,2018-01-02
139,10894,Anne Jean Marie René Savary,"MARSHALL, TX, USA",annejeanmarierenésavary@gmail.com,2018-01-02
140,58971,Harry H. Peterson,"ROSEBURG, OR, USA",harryh.peterson@gmail.com,2018-01-02
141,77314,Lim You-Hwan,"OPELOUSAS, LA, USA",limyou-hwan@gmail.com,2018-01-03
142,69224,Roger Gale,"NACOGDOCHES, TX, USA",rogergale@gmail.com,2018-01-03
143,61286,Simon Reynolds,"PULASKI, TN, USA",simonreynolds@gmail.com,2018-01-03
144,89565,Carol Rama,"MASON CITY, IA, USA",carolrama@gmail.com,2018-01-03
145,84261,Tamara Todevska,"HAYS, KS, USA",tamaratodevska@gmail.com,2018-01-03
146,76990,TRUE,"ELIZABETH, NJ, USA",true@gmail.com,2018-01-03
147,76977,Lawrence O'Brien,"QUINTER, KS, USA",lawrenceo'brien@gmail.com,2018-01-03
148,56444,Sébastien Bassong,"SEVIERVILLE, TN, USA",sébastienbassong@gmail.com,2018-01-03
149,95048,Vin Casey,"AUSTIN, TX, USA",vincasey@gmail.com,2018-01-03
150,92945,David Frockt,"GALION, OH, USA",davidfrockt@gmail.com,2018-01-03
151,47304,Johan Nicolai Støren,"CHOCTAW, MS, USA",johannicolaistøren@gmail.com,2018-01-03
152,73461,Martin Kučera,"GREENVILLE, TX, USA",martinkučera@gmail.com,2018-01-03
153,26703,John Thompson,"LANCASTER, WI, USA",johnthompson@gmail.com,2018-01-03
154,78888,Monika Krawczyk,"MONROE, MI, USA",monikakrawczyk@gmail.com,2018-01-03
155,67006,John Arthur McCue,"OLATHE, KS, USA",johnarthurmccue@gmail.com,2018-01-03
156,21243,Růžena Grebeníčková,"BIG STONE GAP, VA, USA",růženagrebeníčková@gmail.com,2018-01-03
157,74527,Dave Puzak,"HUDSON, WI, USA",davepuzak@gmail.com,2018-01-03
158,64591,Ann Chiejine,"FREMONT, MI, USA",annchiejine@gmail.com,2018-01-03
159,45080,Paul Monaghan,"LINDSAY, OK, USA",paulmonaghan@gmail.com,2018-01-03
160,89758,Phillimon Selowa,"BAGLEY, MN, USA",phillimonselowa@gmail.com,2018-01-03
161,15895,"St. Jutta of Kulmsee, T.O.S.F.","BASIN, WY, USA","st.juttaofkulmsee,t.o.s.f.@gmail.com",2018-01-03
162,99818,Paloma Guerrero,"CRYSTAL RIVER, FL, USA",palomaguerrero@gmail.com,2018-01-03
163,92422,Amulo of Lyons,"HAZLETON, PA, USA",amulooflyons@gmail.com,2018-01-03
164,11484,Ernie Agat Gawilan,"WEST HARTFORD, CT, USA",ernieagatgawilan@gmail.com,2018-01-03
165,92578,Serafim Baptista,"QUINCY, FL, USA",serafimbaptista@gmail.com,2018-01-03
166,59478,Glenn Gruenhagen,"ABERDEEN, WA, USA",glenngruenhagen@gmail.com,2018-01-03
167,89838,Romain Bauchet,"GENEVA, OH, USA",romainbauchet@gmail.com,2018-01-03
168,85060,José M. Hernández,"NEW CASTLE, PA, USA",josém.hernández@gmail.com,2018-01-03
169,97820,Naguib Mahfouz,"CROCKETT, TX, USA",naguibmahfouz@gmail.com,2018-01-03
170,54914,David Swallow,"OAK HARBOR, WA, USA",davidswallow@gmail.com,2018-01-03
171,87921,Anthony Abdy,"EL CENTRO, CA, USA",anthonyabdy@gmail.com,2018-01-03
172,61028,Susana Brandao,"SCOBEY, MT, USA",susanabrandao@gmail.com,2018-01-03
173,49154,Giorgios Chionidis,"WESTLAKE, OH, USA",giorgioschionidis@gmail.com,2018-01-03
174,36564,Saint Baldred of Tyninghame,"RAHWAY, NJ, USA",saintbaldredoftyninghame@gmail.com,2018-01-03
175,37869,Johan Harstad,"UTICA, NY, USA",johanharstad@gmail.com,2018-01-03
176,82875,Takeya Mizugaki,"HAWKINSVILLE, GA, USA",takeyamizugaki@gmail.com,2018-01-03
177,60534,Mandawuy Djarrtjuntjun Yunupingu,"BEAUFORT, SC, USA",mandawuydjarrtjuntjunyunupingu@gmail.com,2018-01-03
178,25835,Inosi Toga,"DUMAS, TX, USA",inositoga@gmail.com,2018-01-03
179,21915,Kaina Darina Martínez,"FRISCO, CO, USA",kainadarinamartínez@gmail.com,2018-01-03
180,89088,Mujo Ulqinaku,"CROSBY, MN, USA",mujoulqinaku@gmail.com,2018-01-03
181,16719,Joel Ducorroy,"GREENWICH, CT, USA",joelducorroy@gmail.com,2018-01-03
182,97196,Barry Cort,"CAMBRIDGE, MA, USA",barrycort@gmail.com,2018-01-03
183,83805,William Pullar Jardine,"STEUBENVILLE, OH, USA",williampullarjardine@gmail.com,2018-01-03
184,96139,Dave Watson,"NORTH LITTLE ROCK, AR, USA",davewatson@gmail.com,2018-01-03
185,84257,Sophie Wilmès,"TAVARES, FL, USA",sophiewilmès@gmail.com,2018-01-03
186,84892,Im Jae-Sun,"GALION, OH, USA",imjae-sun@gmail.com,2018-01-03
187,54843,Tarabya of Toungoo,"FORT WAINWRIGHT, AK, USA",tarabyaoftoungoo@gmail.com,2018-01-03
188,17962,Gabhán Ó Briain,"JEFFERSONVILLE, IN, USA",gabhánóbriain@gmail.com,2018-01-03
189,18849,Charles A. Cummings,"DANVILLE, VA, USA",charlesa.cummings@gmail.com,2018-01-03
190,63240,"Francis ""Frank"" Forshew","SEDAN, KS, USA","francis""frank""forshew@gmail.com",2018-01-03
191,51157,Gearóid Ó Gráda,"FORT SAM HOUSTON, TX, USA",gearóidógráda@gmail.com,2018-01-03
192,22661,Kimberly Young,"TRINITY, TX, USA",kimberlyyoung@gmail.com,2018-01-03
193,89383,Roberto Sebastián Brum,"JACKSON, MN, USA",robertosebastiánbrum@gmail.com,2018-01-03
194,41148,Pavel Antipov,"HIGHLANDS RANCH, CO, USA",pavelantipov@gmail.com,2018-01-03
195,61526,"Sir William Jardine, 7th Baronet","THE DALLES, OR, USA","sirwilliamjardine,7thbaronet@gmail.com",2018-01-03
196,45255,Arthur Leach,"JOHNSTOWN, PA, USA",arthurleach@gmail.com,2018-01-03
197,93817,C.W. (Bill) Hutchins,"LONGMONT, CO, USA",c.w.(bill)hutchins@gmail.com,2018-01-03
198,12859,Oswaldo de Barros Velloso,"GREENVILLE, ME, USA",oswaldodebarrosvelloso@gmail.com,2018-01-03
199,29210,"Evelyn ""Champagne"" King","ACOMA PUEBLO, NM, USA","evelyn""champagne""king@gmail.com",2018-01-03
200,98196,Kristján Jónsson,"BILOXI, MS, USA",kristjánjónsson@gmail.com,2018-01-03
201,54937,Alastair Scott,"MANHASSET, NY, USA",alastairscott@gmail.com,2018-01-03
202,11457,Jacqueline Mbabazi,"TURTLE LAKE, ND, USA",jacquelinembabazi@gmail.com,2018-01-03
203,18182,Landry Bonnefoi,"MIDVALE, UT, USA",landrybonnefoi@gmail.com,2018-01-03
204,57153,Hana Bogušovská,"DENVER CITY, TX, USA",hanabogušovská@gmail.com,2018-01-03
205,21582,Olivér Fenyvesi,"AUSTIN, MN, USA",olivérfenyvesi@gmail.com,2018-01-03
206,60228,Christopher Samba,"MARQUETTE, MI, USA",christophersamba@gmail.com,2018-01-03
207,91871,John Sinclair,"NEW SMYRNA BEACH, FL, USA",johnsinclair@gmail.com,2018-01-03
208,53150,Christina Baka,"SONORA, CA, USA",christinabaka@gmail.com,2018-01-03
209,27055,John Bernard,"NORTH PLATTE, NE, USA",johnbernard@gmail.com,2018-01-03
210,12755,William Joseph Bushell,"EVERETT, PA, USA",williamjosephbushell@gmail.com,2018-01-03
211,63413,Mark Jacobs,"WEST HARTFORD, CT, USA",markjacobs@gmail.com,2018-01-03
212,31627,Agenor Detofol,"SNOQUALMIE, WA, USA",agenordetofol@gmail.com,2018-01-03
213,41535,Raúl Arellano Villegas,"HOLDREGE, NE, USA",raúlarellanovillegas@gmail.com,2018-01-03
214,45897,Barry Fuller,"STEUBENVILLE, OH, USA",barryfuller@gmail.com,2018-01-03
215,41527,Karlo Mijić,"MONTPELIER, OH, USA",karlomijić@gmail.com,2018-01-03
216,41955,Charles Benedict Calvert,"CROCKETT, TX, USA",charlesbenedictcalvert@gmail.com,2018-01-03
217,61400,Gary Trent,"OMAHA, NE, USA",garytrent@gmail.com,2018-01-03
218,83667,Bruce Childs,"WAHOO, NE, USA",brucechilds@gmail.com,2018-01-03
219,61411,Graham Bowman,"HENDERSONVILLE, TN, USA",grahambowman@gmail.com,2018-01-03
220,37977,Artyom Igorevich Fidler,"BELMONT, MA, USA",artyomigorevichfidler@gmail.com,2018-01-03
221,46582,Janis Tanaka,"POUGHKEEPSIE, NY, USA",janistanaka@gmail.com,2018-01-03
222,62244,Yannick Franke,"GREENSBORO, AL, USA",yannickfranke@gmail.com,2018-01-03
223,99911,Barbara Dawson Smith,"INTERNATIONAL FALLS, MN, USA",barbaradawsonsmith@gmail.com,2018-01-03
224,52538,Ellington Ratliff,"WINDOM, MN, USA",ellingtonratliff@gmail.com,2018-01-03
225,87659,Ferenc Babati,"LA MIRADA, CA, USA",ferencbabati@gmail.com,2018-01-03
226,14618,Juan de Salamanca,"NEWBERG, OR, USA",juandesalamanca@gmail.com,2018-01-03
227,38624,Dean Geyer,"HOLYOKE, CO, USA",deangeyer@gmail.com,2018-01-03
228,28235,Gérard Manset,"ROARING SPRING, PA, USA",gérardmanset@gmail.com,2018-01-03
229,28258,Bill Woodcock,"LOS ALAMITOS, CA, USA",billwoodcock@gmail.com,2018-01-03
230,95402,Mawiyya,"BRISTOW, OK, USA",mawiyya@gmail.com,2018-01-03
231,44082,Hervé Moulin,"TERRY, MT, USA",hervémoulin@gmail.com,2018-01-03
232,79213,Harak Singh Rawat,"UPLAND, CA, USA",haraksinghrawat@gmail.com,2018-01-03
233,75787,David Lewis,"OREFIELD, PA, USA",davidlewis@gmail.com,2018-01-03
234,45353,Feng Ming-chu,"URBANA, OH, USA",fengming-chu@gmail.com,2018-01-03
235,45969,Dale Miller,"ST. MARYS, GA, USA",dalemiller@gmail.com,2018-01-03
236,74675,Lamin Diallo,"OLYMPIA FIELDS, IL, USA",lamindiallo@gmail.com,2018-01-03
237,69307,Alicja Pęczak,"PASCAGOULA, MS, USA",alicjapęczak@gmail.com,2018-01-03
238,17170,Alex Della Valle,"ATCHISON, KS, USA",alexdellavalle@gmail.com,2018-01-03
239,92920,Manuel Kauers,"THERMOPOLIS, WY, USA",manuelkauers@gmail.com,2018-01-03
240,50727,Enrico Villanueva,"CRYSTAL RIVER, FL, USA",enricovillanueva@gmail.com,2018-01-03
241,13954,John Joseph Boylan,"BURNET, TX, USA",johnjosephboylan@gmail.com,2018-01-03
242,20711,Vladislav Kozlov,"CHILTON, WI, USA",vladislavkozlov@gmail.com,2018-01-03
243,58911,Bob Herbert,"DELTA, CO, USA",bobherbert@gmail.com,2018-01-03
244,54854,Leroy Hood,"VALENTINE, NE, USA",leroyhood@gmail.com,2018-01-03
245,47115,Isaac Campbell Kidd Jr.,"PETALUMA, CA, USA",isaaccampbellkiddjr.@gmail.com,2018-01-03
246,37137,Logan Tomkins,"WESTAMPTON TOWNSHIP, NJ, USA",logantomkins@gmail.com,2018-01-04
247,23249,Emrah Tuncel,"KEENE, NH, USA",emrahtuncel@gmail.com,2018-01-04
248,62944,"Ernesto ""Boy"" F. Herrera","GLENCOE, MN, USA","ernesto""boy""f.herrera@gmail.com",2018-01-04
249,75743,Cotiso,"NORTH HORNELL, NY, USA",cotiso@gmail.com,2018-01-04
250,14029,Jan Mølby,"LIVINGSTON, NJ, USA",janmølby@gmail.com,2018-01-04
251,11041,Donald Alastair Cameron,"CARSON CITY, MI, USA",donaldalastaircameron@gmail.com,2018-01-04
252,49844,Lowri Tynan,"CENTREVILLE, AL, USA",lowritynan@gmail.com,2018-01-04
253,84185,Dave Thompson,"GRAND SALINE, TX, USA",davethompson@gmail.com,2018-01-04
254,18427,Nicolaas Martinus Hubertus Johannes Vreijsen,"FLORESVILLE, TX, USA",nicolaasmartinushubertusjohannesvreijsen@gmail.com,2018-01-04
255,92600,Timothy Matthew Howard,"GREENWOOD, IN, USA",timothymatthewhoward@gmail.com,2018-01-04
256,56395,Ryan Murphy,"UKIAH, CA, USA",ryanmurphy@gmail.com,2018-01-04
257,56969,Von Wafer,"SLAYTON, MN, USA",vonwafer@gmail.com,2018-01-04
258,98598,Percy Scown,"CIDRA, PR, PRI",percyscown@gmail.com,2018-01-04
259,90641,Sanjay Pahal,"PITTSFIELD, ME, USA",sanjaypahal@gmail.com,2018-01-04
260,26874,Wayne Hightower,"PILOT KNOB, MO, USA",waynehightower@gmail.com,2018-01-04
261,89437,William Padley,"ALEXANDRIA, LA, USA",williampadley@gmail.com,2018-01-04
262,14250,Geoffrey Philip Howarth,"BELLFLOWER, CA, USA",geoffreyphiliphowarth@gmail.com,2018-01-04
263,45588,William G. T'Vault,"WRAY, CO, USA",williamg.t'vault@gmail.com,2018-01-04
264,39623,Alcindo,"EAGLE LAKE, TX, USA",alcindo@gmail.com,2018-01-04
265,41806,Aldo Guna,"MARION, KY, USA",aldoguna@gmail.com,2018-01-04
266,59133,Lee Johnson,"BETHEL, AK, USA",leejohnson@gmail.com,2018-01-04
267,83647,Masashi Kudo,"NORTH ADAMS, MA, USA",masashikudo@gmail.com,2018-01-04
268,42771,Anke Van dermeersch,"PALMER, AK, USA",ankevandermeersch@gmail.com,2018-01-04
269,83875,Laura J. Burns,"ERWIN, NC, USA",lauraj.burns@gmail.com,2018-01-04
270,75514,Garrison Holt Davidson,"SUNNYVALE, TX, USA",garrisonholtdavidson@gmail.com,2018-01-04
271,68693,桑一非,"VALDOSTA, GA, USA",桑一非@gmail.com,2018-01-04
272,10654,Vanessa Lynne Bryant,"AURORA, MN, USA",vanessalynnebryant@gmail.com,2018-01-04
273,97457,Gordon S. Holder,"DOVER, NH, USA",gordons.holder@gmail.com,2018-01-04
